,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
157882,HIP26013,83.269598,-26.72323,2453016.6539277,10.221514,1.207095,34813.296291,1.330996,22.566057,0.995604,34813.790876,1.1113,16.124581,1.010474,-6.230749,10.691686,-19.386516,3.801888,0.561659,0.001468,0.176894,0.001622,0.230573,0.002058,0,25.020429,4.278761,-0.856394,0,56.0,2453016.65393,-9.92664,-9.926461,0,-9999999,0.0,0.201563,0.682532,0.494585,0.732505,0.5,256,-6.217833,10.669646,2004-01-12T03:35:00.005,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K2,3.30755626087712e-05,1.85115177160004e-06,0,0
157883,HIP26013,83.269598,-26.72323,2453037.6065096,-11.550739,1.608982,48820.159269,2.035921,1.632085,1.362417,48821.35986,1.783925,-4.673286,1.387245,-2.949924,14.50321,12.75954,5.072919,0.57063,0.001985,0.180869,0.002329,0.231257,0.002927,0,6.414442,49.311723,0.044141,49,42.0,2453037.6065,-15.289744,-15.289584,0,-9999999,0.00099,1.039844,0.855945,1.199601,0.981114,0.49,256,-2.894112,14.498817,2004-02-02T02:28:02.209,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K2,3.68370677299176e-05,2.4952817653091e-06,0,0
157884,HIP26013,83.269598,-26.72323,2453050.541798,3.067717,2.327326,48833.332073,3.339862,17.157787,2.167565,48836.052732,3.192499,11.95728,2.179664,1.486841,22.438262,-6.479244,6.044488,0.549579,0.003107,0.176105,0.003977,0.231531,0.00503,0,6.362409,49.374684,0.017945,49,27.8,2453050.54179,-17.516427,-17.516296,0,-9999999,0.001601,1.94709,0.847412,2.719058,0.981136,0.35,166,0.517531,22.456726,2004-02-15T00:56:59.879,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K2,3.42756376541736e-05,2.12535253836321e-06,0,0
157885,HIP26013,83.269598,-26.72323,2453319.8262615,-10.547758,1.078972,48819.563819,1.154559,0.111908,0.656904,48818.247605,0.608607,-5.807215,0.679759,20.463798,7.869912,-13.071429,3.111793,0.556028,0.000958,0.174997,0.000983,0.224888,0.001239,0,6.361574,49.561263,0.02432,49,85.9,2453319.82625,10.100637,10.100832,0,-9999999,0.014325,-1.483314,0.855955,-1.330539,0.981124,0.57,780,20.506754,7.867388,2004-11-10T07:37:55.943,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K2,3.20173702214471e-05,1.75563652111474e-06,0,0
157886,HIP26013,83.269598,-26.72323,2453764.5968079,11.014151,1.205418,48842.954742,1.196858,23.936887,0.896044,48843.814027,0.818259,17.644206,0.921979,7.451718,9.386535,-15.163923,3.218142,0.557957,0.001224,0.177641,0.001315,0.225898,0.001643,0,6.343417,49.414886,0.031988,49,67.9,2453764.59691,-14.486919,-14.487055,0,-9999999,0.03534,0.779756,0.806311,0.823945,0.873454,0.44,195,7.4908,9.369156,2006-01-29T02:14:27.036,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K2,2.98503536509428e-05,1.59833586829236e-06,0,0
157887,HIP26013,83.269598,-26.72323,2453765.5950452,8.075623,1.187897,48839.867307,1.155698,18.205402,0.893628,48837.466578,0.819967,12.304458,0.919204,-1.502518,8.572134,-18.755708,3.134714,0.553596,0.001226,0.173262,0.001322,0.228644,0.001657,0,6.343377,49.484603,0.02377,49,67.8,2453765.59515,-14.7138,-14.713939,0,-9999999,0.035387,-2.013201,0.782641,-2.436116,0.814428,0.45,195,-1.518493,8.558639,2006-01-30T02:11:56.975,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K2,3.18861936368408e-05,1.96344929541863e-06,0,0
157888,HIP26013,83.269598,-26.72323,2453781.6521622,11.479803,1.226234,48840.946052,1.259149,22.909275,0.878078,48840.156648,0.789233,16.469784,0.899997,-1.402808,8.379597,2.628862,3.306544,0.556291,0.001182,0.177166,0.001275,0.225286,0.001586,0,6.376896,49.289569,0.017407,49,70.3,2453781.65227,-17.822503,-17.82262,0,-9999999,0.036146,-0.713508,0.855937,-0.82555,0.981105,0.47,293,-1.393611,8.370073,2006-02-15T03:34:37.240,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K2,3.79151518466324e-05,2.23407071200682e-06,0,0
157889,HIP26013,83.269598,-26.72323,2453789.5936967,10.535878,1.302908,48840.084851,1.412632,22.736269,1.0802,48840.613997,1.043194,16.740669,1.096651,-13.731029,10.166931,-10.041231,3.364178,0.555416,0.001425,0.171802,0.001564,0.235597,0.002003,0,6.355833,49.379765,0.025581,49,57.9,2453789.59381,-18.699937,-18.700089,0,-9999999,0.036521,0.057411,0.728517,0.492625,0.95251,0.45,194,-13.727593,10.159159,2006-02-23T02:11:57.343,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K2,3.17151192254896e-05,1.9952048626225e-06,0,0
157890,HIP26013,83.269598,-26.72323,2453832.510142,-5.498528,1.134981,48824.277358,1.149884,6.355827,1.013638,48824.255253,0.945681,0.359366,1.028072,5.799343,9.753531,-21.583903,2.926561,0.552956,0.001323,0.177128,0.001442,0.23082,0.001829,0,6.327415,49.502724,0.019448,49,62.2,2453832.51025,-17.550496,-17.550777,0,-9999999,0.038549,-0.288625,0.510607,-0.060654,0.654156,0.45,195,5.765663,9.753009,2006-04-07T00:15:29.969,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K2,2.81635727940341e-05,1.83567153730995e-06,0,0
157891,HIP26013,83.269598,-26.72323,2453833.5372059,-6.488072,1.437391,48826.293264,1.496811,5.539166,1.154734,48826.145496,1.130403,-0.845409,1.167827,2.535204,11.688398,-20.872182,2.631426,0.550016,0.001498,0.172919,0.001648,0.226553,0.002096,0,6.33076,49.521749,0.025157,49,55.0,2453833.53732,-17.440128,-17.440382,0,-9999999,0.038598,-0.115742,0.855968,-0.186366,0.981138,0.46,195,2.513247,11.687523,2006-04-08T00:54:31.437,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K2,3.1524050689772e-05,2.35335129279774e-06,0,0
157892,HIP26013,83.269598,-26.72323,2454122.6293589,0.826135,1.231752,48830.894201,1.151465,13.150043,0.885765,48832.063174,0.799599,6.881938,0.912592,-11.849868,9.286907,8.438209,3.702665,0.557271,0.001183,0.176385,0.001245,0.23021,0.001586,0,6.382512,49.171937,0.027787,49,70.4,2454122.62947,-12.772807,-12.772917,0,-9999999,0.052257,0.180928,0.855941,1.116716,0.82856,0.46,300,-11.846799,9.283425,2007-01-22T02:59:58.485,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K2,2.9652381559565e-05,1.67001207309546e-06,0,0
157893,HIP26013,83.269598,-26.72323,2454140.5760585,-7.127873,1.336243,48822.427347,1.404063,4.513808,1.026103,48822.279828,1.004386,-1.519043,1.041504,-2.10279,9.792131,-20.482229,3.196829,0.556914,0.001391,0.175724,0.001499,0.22795,0.001903,0,6.331706,49.452706,0.018323,49,60.0,2454140.57617,-16.649818,-16.649974,0,-9999999,0.053105,-0.501299,0.855954,-0.200624,0.981123,0.45,195,-2.047349,9.793834,2007-02-09T01:45:19.915,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K2,2.92767315868078e-05,1.56645708263628e-06,0,0
157894,HIP26013,83.269598,-26.72323,2454174.5481202,-4.097156,1.514794,48825.024406,1.555863,9.616475,1.311174,48826.743578,1.353071,3.310998,1.31994,-9.639038,11.547229,-2.97539,3.732666,0.551018,0.001629,0.176383,0.001848,0.231038,0.002345,0,6.350137,49.236666,0.018778,49,50.4,2454174.54823,-19.472719,-19.472947,0,-9999999,0.05471,1.570651,0.758567,1.664462,0.768055,0.46,195,-9.657384,11.545745,2007-03-15T01:08:04.938,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_K2,2.7871721089929e-05,1.89182565466503e-06,0,0
