Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
32950,168746,j,rj01.1020,2453240.848218,-10.55,1.089423,0.158,114105.0
32951,168746,j,rj08.183,2453546.888183,-17.74,1.042547,0.158,93049.0
32952,168746,j,rj70.220,2454984.081259,11.10,1.211363,0.156,44906.0
32953,168746,j,rj100.1421,2455468.753988,-20.30,1.071542,0.158,46759.0
32954,168746,j,rj116.672,2455636.134038,-10.50,1.109386,0.158,46325.0
32955,168746,j,rj120.933,2455707.111854,-2.99,1.343688,0.157,46607.0
32956,168746,j,rj124.322,2455734.90241,36.63,1.097676,0.157,47115.0
32957,168746,j,rj130.1471,2455793.729395,10.82,1.195433,0.158,46256.0
32958,168746,j,rj877.147,2455824.870209,30.11,1.173098,0.1569,76504.0
32959,168746,j,rj133.75,2455841.759337,-1.67,1.296648,0.15,46114.0
32960,168746,j,rj891.142,2456027.074405,-4.92,1.071432,0.1586,73713.0
32961,168746,j,rj149.199,2456028.137121,15.63,1.091081,0.158,46892.0
32962,168746,j,rj158.478,2456173.76299,-22.07,1.17717,0.157,46286.0
32963,168746,j,rj172.1482,2456478.786501,18.38,1.332577,0.154,48014.0
32964,168746,j,rj190.772,2456864.751429,-21.13,1.253253,0.1567,46351.0
32965,168746,j,rj208.81,2457244.768419,9.55,1.136943,0.1567,47262.0
32966,168746,j,rj253.547,2457831.150149,-11.67,1.2667,0.1658,47936.0
32967,168746,j,rj299.79,2458344.803236,-18.60,1.142487,0.1587,48531.0
32968,168746,j,rj333.333,2458646.128091,-13.97,1.259827,0.1531,46496.0
