Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
55353,218566,j,rj02.958,2453303.882465,7.87,1.004253,0.282,107353.0
55354,218566,j,rj11.215,2453603.066157,-14.34,0.995843,0.239,105159.0
55355,218566,j,rj22.322,2453969.056238,-2.48,1.042486,0.254,98406.0
55356,218566,j,rj35.511,2454279.107616,-5.83,0.948292,0.249,75926.0
55357,218566,j,rj36.183,2454286.093484,-8.25,1.254522,0.242,25404.0
55358,218566,j,rj38.248,2454295.078762,-9.77,1.013178,0.232,75729.0
55359,218566,j,rj48.824,2454429.760382,3.14,1.00469,0.221,76974.0
55360,218566,j,rj48.1217,2454430.745799,0.37,0.914352,0.222,77573.0
55361,218566,j,rj49.923,2454455.761076,-1.17,1.006042,0.232,77116.0
55362,218566,j,rj49.1318,2454456.750509,-2.05,0.968235,0.229,76463.0
55363,218566,j,rj49.1618,2454457.733981,-5.00,1.132534,0.23,40033.0
55364,218566,j,rj49.2224,2454460.747303,-4.24,1.05793,0.225,48429.0
55365,218566,j,rj49.2622,2454461.765856,-0.10,1.846306,0.225,9386.0
55366,218566,j,rj49.2623,2454461.772708,-4.68,1.123114,0.225,39853.0
55367,218566,j,rj55.158,2454634.092882,13.60,1.05207,0.23,48514.0
55368,218566,j,rj55.369,2454635.065833,9.86,1.028088,0.23,47876.0
55369,218566,j,rj55.564,2454636.055775,9.98,1.00099,0.23,48436.0
55370,218566,j,rj55.769,2454637.110949,6.29,1.036895,0.231,47926.0
55371,218566,j,rj55.987,2454638.06397,15.21,1.000608,0.23,48443.0
55372,218566,j,rj55.1267,2454639.078287,11.09,0.974676,0.229,48181.0
55373,218566,j,rj55.1637,2454641.107072,8.93,0.983741,0.226,47978.0
55374,218566,j,rj55.1876,2454642.124028,7.96,1.141756,0.224,47366.0
55375,218566,j,rj57.138,2454674.931169,-4.25,1.044045,0.221,48653.0
55376,218566,j,rj58.130,2454688.946863,-9.32,0.992775,0.225,47394.0
55377,218566,j,rj58.431,2454689.967373,-6.55,1.073207,0.22,48288.0
55378,218566,j,rj59.126,2454717.938681,-9.86,1.075292,0.219,48245.0
55379,218566,j,rj59.746,2454719.956227,-8.09,1.051806,0.222,47769.0
55380,218566,j,rj60.542,2454726.98375,-2.56,1.087615,0.225,47719.0
55381,218566,j,rj63.695,2454807.798368,-0.09,1.071411,0.214,48228.0
55382,218566,j,rj64.80,2454838.771475,3.67,1.144196,0.204,49856.0
55383,218566,j,rj65.67,2454846.725378,2.42,1.680572,0.203,17656.0
55384,218566,j,rj82.391,2455197.776033,-16.38,1.102666,0.215,45391.0
55385,218566,j,rj837.114,2455202.759457,-10.31,0.997554,0.2173,80383.0
55386,218566,j,rj848.164,2455371.006384,-7.11,1.074007,0.223,55779.0
55387,218566,j,rj850.38,2455408.117317,-16.44,1.114951,0.224,81720.0
55388,218566,j,rj97.3020,2455440.039549,-5.84,1.137926,0.238,51163.0
55389,218566,j,rj98.150,2455455.965734,-8.28,1.057132,0.23,50882.0
55390,218566,j,rj853.144,2455462.83125,-4.05,0.88183,0.2363,81155.0
55391,218566,j,rj100.152,2455465.051114,-3.49,1.040218,0.241,50936.0
55392,218566,j,rj102.152,2455471.951631,-2.87,1.130243,0.243,51219.0
55393,218566,j,rj103.78,2455486.769373,-2.80,0.987924,0.237,50583.0
55394,218566,j,rj856.144,2455516.88471,-3.18,1.0531,0.2331,79852.0
55395,218566,j,rj859.123,2455548.783857,-3.14,0.929793,0.2319,81407.0
55396,218566,j,rj111.63,2455555.788145,-3.23,1.036245,0.23,51192.0
55397,218566,j,rj862.111,2455578.746705,-7.80,1.199182,0.2195,41780.0
55398,218566,j,rj120.1143,2455708.07795,0.03,1.136398,0.241,49917.0
55399,218566,j,rj873.185,2455721.080229,-2.51,1.020108,0.2418,80204.0
55400,218566,j,rj876.163,2455751.047979,1.98,1.181822,0.274,33813.0
55401,218566,j,rj876.164,2455751.055411,3.57,1.204212,0.2701,34799.0
55402,218566,j,rj131.128,2455807.082027,-7.27,1.081423,0.256,50799.0
55403,218566,j,rj877.186,2455825.027575,-7.31,1.020349,0.2807,80364.0
55404,218566,j,rj879.170,2455839.894996,-13.15,1.078707,0.2696,80154.0
55405,218566,j,rj879.171,2455839.899312,-14.21,1.04422,0.2691,80606.0
55406,218566,j,rj881.124,2455874.906782,-5.29,1.02215,0.2811,80903.0
55407,218566,j,rj138.795,2455904.752417,-2.13,1.058811,0.277,51300.0
55408,218566,j,rj884.119,2455910.759232,-3.52,0.961784,0.2829,80522.0
55409,218566,j,rj884.120,2455910.763548,-1.21,1.009354,0.2824,79628.0
55410,218566,j,rj893.157,2456118.011017,-2.37,0.954705,0.2679,80810.0
55411,218566,j,rj893.158,2456118.016817,-1.61,0.951791,0.266,81262.0
55412,218566,j,rj896.102,2456168.972822,2.12,1.268654,0.2748,35946.0
55413,218566,j,rj896.103,2456168.980739,-0.75,1.172299,0.2743,59303.0
55414,218566,j,rj899.121,2456291.769427,-14.51,1.078142,0.2983,81959.0
55415,218566,j,rj899.122,2456291.773999,-12.16,1.06279,0.2964,81515.0
55416,218566,j,rj905.208,2456434.087547,13.38,1.005417,0.3084,82589.0
55417,218566,j,rj905.209,2456434.091749,14.92,1.105846,0.3096,81232.0
55418,218566,j,rj178.153,2456519.103044,-4.31,1.145564,0.295,52539.0
55419,218566,j,rj185.586,2456638.740539,9.87,1.074644,0.3017,50888.0
55420,218566,j,rj191.173,2456873.125484,4.34,1.163926,0.2838,51077.0
55421,218566,j,rj192.101,2456878.970334,6.63,1.252471,0.2961,50570.0
55422,218566,j,rj300.286,2458351.079436,-4.47,1.260397,0.2208,25881.0
55423,218566,j,rj335.370,2458662.125492,3.68,0.991866,0.2212,50397.0
